Sección,Pregunta,Respuesta,Fuente
Menu Regular,¿Cuál es la temperatura interna mínima de los productos de pollo?,165?F,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿A qué distancia por lo menos debe estar la comida por encima del piso?,15 cm,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿A qué temperatura se reproducen las bacterias?,De 40?F a 140?F,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es la temperatura del agua para lavar trapos?,120?F a 150?F,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,La cantidad de trapos de parrilla en un balde con sanitizante es:,20,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es la concentración de sanitizante en una botella aspersora?,50 a 100 ppm,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,El cambio del agua de los trapos debe ser:,"Cada 2 hrs, o cuando la concentración de sanitizante sea menor a 50 ppm",Gui?a de estudio para entrenador 2024.pdf
Menu Regular,"¿Con qué trapo limpiamos las paredes, sillas y basureros?",Blanco con orilla roja,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es la temperatura del área donde se deben almacenar los jitomates?,55?F a 75?F,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,Los enemigos del aceite son:,"Sal, carbón, aire, temperatura, agua y detergente",Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Cuáles son las características visuales de un pan caramelizado?,"Color marrón dorado, 100% de su superficie debe ser lisa y sedosa, sin porosidad, como si el pan hubiese sido sellado",Gui?a de estudio para entrenador 2024.pdf
Calidad,Menciona las características de un pan estándar de McDonald's,"Textura flexible y corte parejo, color marrón dorado, aroma de trigo agradable, simétrico, uniformemente redondo",Gui?a de estudio para entrenador 2024.pdf
Calidad,"Se le llama asi a los productos que se tiran después de ser ensamblados, por no cumplir caracteristicas de calidad:",Desperdicio acabado,Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Debemos cocinar y mantener los productos de manera que cumplan los estándares de calidad y seguridad de la comida?,Verdadero,Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Cómo se llama el método estándar para rotar producto en las cámaras de almacenamiento?,PDPF/FIFO,Gui?a de estudio para entrenador 2024.pdf
Calidad,"A qué producto corresponde esta descripción de calidad: color crema/durazno, con pepinillos dulces picados, textura cremosa y sabor agridulce a mostaza fuerte y pepinillos dulces:",Salsa Big Mac,Gui?a de estudio para entrenador 2024.pdf
Calidad,Es el tiempo que se puede mantener un producto en la mesa de preparación después de sacarlo de la cámara refrigeradora:,Periodo de conservación secundario,Gui?a de estudio para entrenador 2024.pdf
Calidad,Marque los procedimientos clave para reabastecer ingredientes en la mesa de condimentación:,"Use todo el producto viejo antes de añadir el nuevo, ponga el producto en bandejas/cambros limpios y sanitizados",Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Qué error en el procedimiento puede hacer que la cebolla rehidratada quede con un color rosa?,Añadir agua caliente o tibial,Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Qué sucede si la cebolla rehidratada se remoja menos de una hora?,Podría quedar dura y chiclosa,Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Qué tipo de agua se utiliza para preparar la cebolla deshidratada?,Agua Fria,Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Cuáles son las características de calidad de las carnes congeladas?,"Redonda y plana, diámetro y espesor uniforme, color legeramente rosado, se marcan los dedos cuando las tocas y fáciles de separar",Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Cuál es la mezcla correcta de sal y pimienta al sazonar las carnes?,86% sal y 14% pimienta,Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Qué criterios debe seguir para abastecer carnes en los congeladores laterales?,"Marcar y respetar los tiempos de conservación secundario, desechar los productos que rebasen su periodo de conservacion secundario y verificar los niveles de producto 24/2",Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Cuáles son las características de calidad en apariencia del producto cocinado de carnes?,"Forma de circulo y superficie plana, la superficie cocinada debe estar de 80% a 90% sellada parejo y sin defectos visibles",Gui?a de estudio para entrenador 2024.pdf
Calidad,Si alguna temperatura de la carne está por debajo del estándar de la seguridad de la comida 155?F ¿Se desecha la came?,VERDADERO,Gui?a de estudio para entrenador 2024.pdf
Calidad,Selecciona 3 caracteristicas de calidad de las carnes cocidas:,"Ausencia de color rojo, no quemadas y no secas",Gui?a de estudio para entrenador 2024.pdf
Calidad,"Para la calidad, por lo menos una de las 4 temperaturas internas de cada tanda debe estar entre:",160?F y 165?F,Gui?a de estudio para entrenador 2024.pdf
Calidad,El concepto de tanda máxima es:,Cantidad máxima de carnes que se pueden cocinar en un plato/tapa,Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Cuáles de las siguientes son características de Calidad Dorada de las papas en cuanto a sabor?,"Sabor exclusivo de una combinación bien balanceada de papa recién cocinada, aceite limpio y sal",Gui?a de estudio para entrenador 2024.pdf
Calidad,Factor critico para obtener papas cocidas de calidad:,Cocinar papas congeladas,Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Se pueden poner a cocinar dos cestas de papas congeladas a la vez en la misma cuba?,"No, se enfriará el aceite por debajo de la temperatura necesaria para la cocción correcta",Gui?a de estudio para entrenador 2024.pdf
Calidad,Estándar de calidad dorada de los McNuggets de pollo cocidas en el atributo de apariencia es:,El empanizado tempura frito tiene un color dorado claro con puntos color café rojizo natural,Gui?a de estudio para entrenador 2024.pdf
Calidad,Selecciona las características que señalan que el aceite debe ser cambiado:,"Sabor del producto a quemado, amargo o rancio, si hay burbujas lentas, esto indica que hay descomposición y se debe desechar el aceite, humo excesivo, a menudo acompañado de espuma amarilla y un sabor extraño",Gui?a de estudio para entrenador 2024.pdf
Calidad,¿Cuál es el objetivo del Stock Recovery/Recuperación de producto?,Quitar del mercado algún producto que está fuera de las especificaciones y que no puede ser vendido al público,Gui?a de estudio para entrenador 2024.pdf
MFY,¿Cuántos productos pueden condimentarse a la vez?,2,Gui?a de estudio para entrenador 2024.pdf
MFY,La posición de la 5ta persona en la cocina de ser:,Fritos,Gui?a de estudio para entrenador 2024.pdf
MFY,¿Cuántos productos en una hora se pueden preparar en el sistema de MFY con 2 puntos de iniciación?,800 productos por hora,Gui?a de estudio para entrenador 2024.pdf
MFY,¿Quién interviene cuando existen mas de 3 pedidos en el KVS (zona de peligro)?,Gerente de Calidad/Chaser,Gui?a de estudio para entrenador 2024.pdf
MFY,¿El empleado responsable por el stock y por la preparación se considera una hora fija?,Verdadero,Gui?a de estudio para entrenador 2024.pdf
MFY,¿Cuál es el ajuste del ZOOM para los KVS?,4X2,Gui?a de estudio para entrenador 2024.pdf
MFY,La corona ¿Siempre debe estar orientada a la tostadora?,Verdadero,Gui?a de estudio para entrenador 2024.pdf
MFY,¿En los linner 2 en 1 como se pone la comanda de orden especial?,"Con el lado impreso hacia arriba, en el punto medio de la orilla superior de la envoltura",Gui?a de estudio para entrenador 2024.pdf
MFY,¿En los linner 4 en 1 como se pone la comanda de orden especial?,"Con el lado impreso hacia arriba, en diagonal a la orilla superior izquierda de la envoltural",Gui?a de estudio para entrenador 2024.pdf
MFY,¿En la caja/container como se pone la comanda de orden especial?,En el lado de la base de la caja,Gui?a de estudio para entrenador 2024.pdf
MFY,¿Cuál es el modo de recuperación?,"Es el proceso que debe ser utilizado, cuando haya 3 o ma?s bandejas de uno o más tipos de carne en el UHC que necesitan ser repuestas",Gui?a de estudio para entrenador 2024.pdf
MFY,¿Se pueden dividir las carnes en 2 bandejas?,Falso,Gui?a de estudio para entrenador 2024.pdf
MFY,¿Quién determina con que frecuencia ocurrirá el modo de recuperación?,Gerente de Producción,Gui?a de estudio para entrenador 2024.pdf
MFY,¿Quién Inspecciona cada 15 minutos el UHC verificando cantidad de carnes por niveles establecidos?,Gerente de Turno,Gui?a de estudio para entrenador 2024.pdf
MFY,¿Cuál es el rol de actuación del gerente de calidad con foco en el UHC?,"Asegurar niveles establecidos, conocer las proyecciones de ventas y GC's",Gui?a de estudio para entrenador 2024.pdf
Cajita Feliz,La temperatura de almacenamiento del yoplait es de:,34?F a 40?F,Gui?a de estudio para entrenador 2024.pdf
Cajita Feliz,"¿Cuántas KCal, tienen en conjunto, los productos de la Cajita Feliz?",Menos de 600 Kcal,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,El tiempo de servicio en el mostrador R2P (Receipt to present) es de:,90 seg,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Cuál es el tiempo de vida secundario del yoplait?,24 hrs,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Cada cuando se deben cambiar los trapos azules con los que limpiamos en el lobby?,Cada que sea necesario o por lo menos cada 15 min,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Con que frecuencia se deben compactar los botes de basura del comedor?,Cada 15 min en volumen alto y cada 30 min en volumen bajo,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,El trapo blanco con orilla azul debe ser utilizado para la limpieza de:,"Mesas del lobby, mostrador y segmentos",Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Con que frecuencia se deben revisar los baños?,Cada 15 min en volumen alto y cada 30 min en volumen bajo,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,El trapo blanco con orilla amarilla debe ser utilizado para la limpieza de:,lavamanos,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Cuál es la cantidad de hielo que se debe colocar a las bebidas?,Hasta la línea más baja que marca el vaso,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Cuál es el tiempo de vida del refresco una vez servido?,"No tiene tiempo de vida, las bebidas se sirven al momento",Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,La temperatura de extracción del refresco es de:,33?F a 36?F,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Cuál es el ciclo de lavado para el recicipente del hielo?,4 hrs,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,La temperatura de extracción del café es de:,195?F a 205?F,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Cuál es la temperatura de retención del café?,180?F a 190?F,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,El tiempo de vida secundario de las cremas para café en el refrigerador es:,24 hrs,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,El tiempo de vida del café americano es de:,30 min,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Cuál es el tiempo máximo que tenemos para dar la bienvenida a un cliente en el automac?,10 seg,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Cuál es el tiempo que tenemos para ensamblar un pedido en el AutoMac?,16 seg o menos,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,"En AutoMac ""P.E.M.A"" significa:",Pedido en mano afuera,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,En el AutoMac ¿Quién es responsable de la exactitud del pedido?,Corredor,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,"¿Cuál es el tiempo ""OEPE"" (Order End, Present End) optimo en el Automac?",120 seg,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,El rendimiento de un sobre de café es de:,60 oz,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿En qué momento debe servirse la orden del monitor de expedición?,Cuando se toma el ultimo sandwich de la orden,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,Si la orden del automac NO estará lista para entregar en menos de 10 segundos ¿Qué debes hacer?,Enviar a estacionar el auto a la zona de espera,Gui?a de estudio para entrenador 2024.pdf
Experiencia al cliente,¿Quién es la persona que debe entregar la orden a un auto que se envió a la zona de espera?,El gerente de turno designa a la persona que entregara el pedido,Gui?a de estudio para entrenador 2024.pdf
AutoMac,"En un AutoMac de un solo carril, para atender de 70 a 89 clientes, debemos posicionar:",5 empleados,Gui?a de estudio para entrenador 2024.pdf
AutoMac,El tiempo estándar para ingresar el pedido en la POS:,25 segundos,Gui?a de estudio para entrenador 2024.pdf
AutoMac,"El ""corredor de automac"" arma el pedido incluyendo primero:",Sándwiches,Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿Cuál es la secuencia de armado de pedido para que la temperatura y el sabor de los productos cumplan siempre con las mas altos estandares de calidad?,"1.-Bebidas frías/batidos, 2.-Bebidas calientes, 3.-Postres, 4.-Sandwiches/ensaladas, 5.-Papas/McNuggets",Gui?a de estudio para entrenador 2024.pdf
AutoMac,El tiempo máximo para cobrar el pedido es de:,15 segundos o menos,Gui?a de estudio para entrenador 2024.pdf
AutoMac,El tiempo de armado del pedido es:,16 segundos o menos,Gui?a de estudio para entrenador 2024.pdf
AutoMac,La capacidad del Automac de un solo carril es:,100 a 120 autos x hora,Gui?a de estudio para entrenador 2024.pdf
AutoMac,La capacidad del Automac side by side es:,150 a 180 autos x hora,Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿Cuál es el momento adecuado para posicionar a un tomador externo en el AutoMac?,Cuando se alcanza 80% de la capacidad del AutoMac,Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿Cuáles son las etapas de la piramide del Automac?,"1.-Horarios, posicionamiento y personas entrenadas, 2.-Layout y mantenimiento de equipo, 3.-Gestión de la producción/KVS, 4.-Preparación del turno, 5.-Gerenciamiento del turno, 6.-Objetivos y motivación, 7.-Inversiones de capital",Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿En cuál herramienta podemos encontrar la colocación adecuada de los equipos?,Manual de Layout,Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿Cada cuánto tiempo se debe revisar los niveles de producto?,Cada 15 minutos,Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿Cada cuánto tiempo se deben revisar los GC's realizados?,Cada 15 minutos,Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿Cuál es la causa más frecuente de tiempos de espera largos en el AutoMac?,Esperar productos de cocina,Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿Cómo se llama el equipo que muestra al cliente el pedido que va realizando?,COD (Customer Order Display),Gui?a de estudio para entrenador 2024.pdf
AutoMac,El tiempo desde la finalización del pedido hasta la finalización de la entrega se llama:,OEPE,Gui?a de estudio para entrenador 2024.pdf
AutoMac,"El tiempo OEPE comienza cuando el cliente finaliza el pedido y el empleado presiona la tecla ""total"" en la POS:",VERDADERO,Gui?a de estudio para entrenador 2024.pdf
AutoMac,"El tiempo OEPE finaliza cuando el presentador termina de entregar el pedido completo y presiona la tecla ""servido"" en el Bump Bar:",VERDADERO,Gui?a de estudio para entrenador 2024.pdf
AutoMac,El tiempo en fila es de:,70 segundos,Gui?a de estudio para entrenador 2024.pdf
AutoMac,"Según estudios, ¿Cuántos segundos debemos reducir en OEPE para sumar 9 autos por día?",8 segundos,Gui?a de estudio para entrenador 2024.pdf
AutoMac,El tiempo que se mide desde el 3er auto en la pista/senda y transcurre hasta que el auto llega al punto de pedido es:,Tiempo en Fila,Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿Cuál es la capacidad de un Automac operando Fast Forward?,más de 180 autos por hora,Gui?a de estudio para entrenador 2024.pdf
AutoMac,¿Cuál es el 80% de la capacidad mínima de un AutoMac Side by side?,120 autos,Gui?a de estudio para entrenador 2024.pdf
AutoMac,"¿Qué significa el procedimiento ""PPD""?","Pregunte, Pregunte, Diga",Gui?a de estudio para entrenador 2024.pdf
AutoMac,"¿Cuál es la posición que hace la primera P del procedimiento ""PPD"" (Pregunte)?",Tomador de órdenes,Gui?a de estudio para entrenador 2024.pdf
AutoMac,"¿Cuál es la posición que hace la segunda P del procedimiento ""PPD"" (Pregunte)?",Cajero,Gui?a de estudio para entrenador 2024.pdf
Entrenador,¿Cuáles son las 4 etapas del entrenamiento?,"Preparar, presentar, practicar y dar seguimiento",Gui?a de estudio para entrenador 2024.pdf
Entrenador,¿Cuál es el ral del entrenador?,"Mantener los más altos estándares de C,S, L y V, entrenando, corriguiendo y motivando",Gui?a de estudio para entrenador 2024.pdf
Entrenador,¿Cuáles son las 3 C's de cocina que utilizan los entrenadores?,"Comunicación, Cooperación y Coordinación.",Gui?a de estudio para entrenador 2024.pdf
Entrenador,¿En qué etapa del entrenamiento se debe mostrar las guías y videos de entrenamiento?,Etapa: presentar,Gui?a de estudio para entrenador 2024.pdf
Entrenador,"¿En qué etapa del entrenamiento se explican las normas de calidad, servicio y limpieza de la estación?",Etapa: presentar,Gui?a de estudio para entrenador 2024.pdf
Entrenador,¿En qué etapa del entrenamiento se brinda feedback constante por el desempeño del empleado?,Etapa: practicar,Gui?a de estudio para entrenador 2024.pdf
Entrenador,¿En qué etapa del entrenamiento se debe realizar la certificación del puesto (PCP)?,Etapa: seguimiento,Gui?a de estudio para entrenador 2024.pdf
Entrenador,¿Cuál es el trinomio del entrenamiento?,"Persona correcta, lugar correcto y plan correcto",Gui?a de estudio para entrenador 2024.pdf
Entrenador,"En el entrenamiento, ¿Qué significa el rol de actuación P1?","Persona en entrenamiento, autodesarrollo",Gui?a de estudio para entrenador 2024.pdf
Entrenador,¿Cuáles son las 3 áreas de trabajo que influyen directamente en la calidad?,"Productos, equipos y procedimientos",Gui?a de estudio para entrenador 2024.pdf
T. de Vida,Margarina. (T. Secundario),Desechar al cierre,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Margarina. (T. Primario),300 dias,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Tocino (T. Primario),365 dias,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Queso cheddar blanco (T. Secundario),2 horas (temperado) + 2 horas (Reloj de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Pan Muffin (T. Secundario),En reja: 48 horas (12 horas de descongelación con etiqueta tiempo de vida) En UHC: 20 minutos,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Pico de Gallo (T. Secundario),2 horas (Reloj tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Frijoles (T. Secundario),"UHC bandeja 1/3: todo el periodo de desayuno, hidratando cada hora con 8.5 oz de agua.",GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Mermelada en sobre (T. Secundario),Cambros en el área de servicio/ NA,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Blister margarina (T. Secundario),Bandeja fría cerca de la zona caliente de espera (HLZ/OAT): 4 hrs,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Sobre de miel maple (T. Secundario),Cambros en el área de servicio/ NA,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Hash brown (T. Secundario),Congelador de pared: 2 horas (Reloj de tiempo de vida) Bin de papas: 10 min,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Tortillinas (T. Secundario),3 días (12 horas de descongelación con etiqueta de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Mezcla de Hotcakes (T. Secundario),Contenedor en refrigeración: Todo el periodo de desayunos (Etiqueta de tiempo de vida) Dispensador a temperatura ambiente: 2 horas (Reloj de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Huevo (T. Secundario),Huevo en cascarón/revuelto a temperatura ambiente: 30 minutos (reloj y/o etiqueta tiempo de vida) Huevo(batido) en refrigeración 2 horas (reloj y/o etiqueta tiempo de vida) En UHC: 20 minutos Reloj de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Salchicha desayuno (T. Secundario),Congelador de pared: 2 horas ( Reloj de tiempo de vida) UCH: 60 min,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Queso amarillo (T. Secundario),2 horas (temperado) + 2 horas (Reloj de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,BBQ blister (T. Secundario),Cambros en el área de servicio/ NA,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Agridulce blister (T. Secundario),Cambros en el área de servicio/ NA,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Mavonesa en sobre (T. Secundario),Cambros en el área de servicio/ NA,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Mostaza en sobre (T. Secundario),Cambros en el área de servicio/ NA,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Catsup en sobre (T. Secundario),Cambros en el área de servicio/ NA,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Jalapeño en sobre (T. Secundario),Cambros en el área de servicio/ NA,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Salsa Big Mac (T. Secundario),En la mesa de condimentación: 24 hrs una vez abierto,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Mayonesa pocuh (T. Secundario),Pouch abierto y emplayado en refrigeración: 7 dias,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Mostaza pocuh (T. Secundario),Pouch abierto y emplayado en refrigeración: 7 dias,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Catsup pocuh (T. Secundario),Pouch abierto y emplavado en refrigeración: 7 dias,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Creamy Mustard Pouch (T. Secundario),Pouch abierto y emplayado en refrigeración: 7 dias,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,"Pan Big Mac, Regular y Cuarto de Libra FRESCO (T. Secundario)",rejas de pan: 6 dias,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Tocino (T. Secundario),Refrigerado:30 dias Cocinado en rejilla: 6 horas (reloj y/o etiqueta de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Lechuga rallada (T. Secundario),Mesa de condimentación: 2 horas (reloj de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Tomate (T. Secundario),"Recipiente de 1/3 perforado con fondo falso, sin tapa, no en una superficie caliente: 2 hr (reloj de tiempo de vida)",GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Mc Pollo (T. Secundario),Congelador de pared: 2 horas (Reloj de tiempo de vida) UHC 30 minutos,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,McNuggets (T. Secundario),Congelador de pared: 2 horas (Reloj de tiempo de vida) UHC: 20 minutos,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Pollo Crispy (T. Secundario),Congelador de pared: 2 horas (Reloj de tiempo de vida) UHC: 60 minutos,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Cebolla Crispy (T. Secundario),Mesa de aderezo: 24 horas (Reloj de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Pan Brioche (T. Secundario),Canastilla a temperatura ambiente: 48 horas incluyendo las 12 horas de temperado (etiqueta tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Cebolla Fresca (T. Secundario),Mesa de condimentación: 2 horas (reloj de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Cebolla Rehidratada (T. Secundario),"Mesa de preparación: 4 horas (reloj tiempo de vida), Refrigeración 24 horas (Etiqueta de tiempo)",GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Carne 10:1 y 4:1 (T. Secundario),Congelador Lateral: 2 horas (Reloj de tiempo de vida) UHC:10 minutos,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,"Pan regular, cuarto de libra y Big Mac CONGELADO (T. Secundario)",En rejas de pan: 48 horas incluyendo 12 de temperado (colocar etiqueta de vida secundaria),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Sal (T. Secundario),"Salero (Area de papas): Guardar al cierre, usar 1ro al dia siguiente",GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Papas Fritas (T. Secundario),Congelador de pared: 2 horas (Reloj de tiempo de vida) Cocidas/Bin de papas: 7 minutos,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Aceite comestible (T. Secundario),En tina: Depende del volumen y del buen manejo/ filtrado del aceite (óptimo de 14 dias),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Base de Helado (T. Secundario),Máquina HT: 14 dias Canister (dispensador) en la máquina de helados: 7 dias (reloj o etiqueta de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Galleta Oreo (T. Secundario),Congelador de pared: 2 horas (reloj de tiempo de vida) Zona de enfriamiento: 20 minutos (reloj de tiempo de vida) Vitrina de pays: 70 minutos (150? a 180?F),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Cono de Vainilla (T. Secundario),Maquina de Helados: 24 horas (reloj o etiqueta tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Toppings para sundae (T. Secundario),Toppinera en la máquina de helados: 7 días (reloj o etiqueta de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,M&M's (T. Secundario),Canister (dispensador) en la máquina de helados: 7 dias (reloj o etiqueta de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Yoplait (T. Secundario),Refrigerador de mostrador: 24 horas (Reloj y/o etiqueta de tiempo de vida en el cambro),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Panaderia (Muffins) (T. Secundario),En refrigeracion: 3 dias (incluyendo 12 de descongelacion) En vitrina: 12 hrs,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Leche light (T. Secundario),En envase primario dentro de la jarra: 12 hrs. Jarra Frankie: 24hrs,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Jugo de naranja/manzana (T. Secundario),Contenedor Bebidas y Postres: 7 días (Etiqueta tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Hielo (T. Secundario),Contenedor de hielo en mostrador: 4 horas (reloj y/o etiqueta de tiempo de vida),GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Café en Sobre (T. Secundario),jarra tradicional: 30 minutos jarra con sensor de temperatura: 1 hora,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
T. de Vida,Café en Grano (T. Secundario),Granos en Frankie: 7 dias,GUIA TIEMPOS DE VIDA PRIM Y SEC-1.pdf
